ID Race,Race,ID Ethnicity,Ethnicity,ID Year,Year,Hispanic Population Moe,Geography,ID Geography,Slug Geography,Population,share
5,"Some Other Race Alone",1,"Hispanic or Latino",2015,"2015",21754,"New York, NY","16000US3651000","new-york-ny",1257098,0.1470220416459805
6,"Two or More Races",0,"Not Hispanic or Latino",2015,"2015",9171.550468704841,"New York, NY","16000US3651000","new-york-ny",161057,0.01883618378310735
6,"Two or More Races",1,"Hispanic or Latino",2015,"2015",11012.976073705055,"New York, NY","16000US3651000","new-york-ny",123126,0.014400019648192102
0,"White Alone",0,"Not Hispanic or Latino",2014,"2014",3547,"New York, NY","16000US3651000","new-york-ny",2738547,0.32252049474513195
0,"White Alone",1,"Hispanic or Latino",2014,"2014",24808,"New York, NY","16000US3651000","new-york-ny",881143,0.10377279495338579
1,"Black or African American Alone",0,"Not Hispanic or Latino",2014,"2014",7973,"New York, NY","16000US3651000","new-york-ny",1891387,0.2227499002188061
1,"Black or African American Alone",1,"Hispanic or Latino",2014,"2014",11082,"New York, NY","16000US3651000","new-york-ny",187742,0.022110499737430307
2,"American Indian & Alaska Native Alone",0,"Not Hispanic or Latino",2014,"2014",2168,"New York, NY","16000US3651000","new-york-ny",15415,0.0018154347639446058
2,"American Indian & Alaska Native Alone",1,"Hispanic or Latino",2014,"2014",4922,"New York, NY","16000US3651000","new-york-ny",18568,0.002186765663115371
3,"Asian Alone",0,"Not Hispanic or Latino",2014,"2014",7034.999999999999,"New York, NY","16000US3651000","new-york-ny",1163132,0.136982826328668
3,"Asian Alone",1,"Hispanic or Latino",2014,"2014",2284,"New York, NY","16000US3651000","new-york-ny",8982,0.0010578160914531593
4,"Native Hawaiian & Other Pacific Islander Alone",0,"Not Hispanic or Latino",2014,"2014",1027,"New York, NY","16000US3651000","new-york-ny",1871,0.0002203489097204254
4,"Native Hawaiian & Other Pacific Islander Alone",1,"Hispanic or Latino",2014,"2014",798,"New York, NY","16000US3651000","new-york-ny",1075,0.00012660346229260145
5,"Some Other Race Alone",0,"Not Hispanic or Latino",2014,"2014",6832.999999999999,"New York, NY","16000US3651000","new-york-ny",71959,0.008474659109872844
5,"Some Other Race Alone",1,"Hispanic or Latino",2014,"2014",27889.000000000004,"New York, NY","16000US3651000","new-york-ny",1245307,0.14666063052763967
6,"Two or More Races",0,"Not Hispanic or Latino",2014,"2014",9134.726377949151,"New York, NY","16000US3651000","new-york-ny",147870,0.01741474787833207
6,"Two or More Races",1,"Hispanic or Latino",2014,"2014",10066.842255643029,"New York, NY","16000US3651000","new-york-ny",118081,0.013906477610207137
0,"White Alone",0,"Not Hispanic or Latino",2013,"2013",5719,"New York, NY","16000US3651000","new-york-ny",2739146,0.3258623739670422
0,"White Alone",1,"Hispanic or Latino",2013,"2013",23983,"New York, NY","16000US3651000","new-york-ny",920486,0.10950557332958039
1,"Black or African American Alone",0,"Not Hispanic or Latino",2013,"2013",7457,"New York, NY","16000US3651000","new-york-ny",1882528,0.22395485422807984
1,"Black or African American Alone",1,"Hispanic or Latino",2013,"2013",11179,"New York, NY","16000US3651000","new-york-ny",187873,0.022350302533822627
2,"American Indian & Alaska Native Alone",0,"Not Hispanic or Latino",2013,"2013",2095,"New York, NY","16000US3651000","new-york-ny",17182,0.0020440558150247264
2,"American Indian & Alaska Native Alone",1,"Hispanic or Latino",2013,"2013",3539,"New York, NY","16000US3651000","new-york-ny",13198,0.0015700994439935012
3,"Asian Alone",0,"Not Hispanic or Latino",2013,"2013",7894,"New York, NY","16000US3651000","new-york-ny",1123779,0.1336903154320028
3,"Asian Alone",1,"Hispanic or Latino",2013,"2013",2567,"New York, NY","16000US3651000","new-york-ny",9263,0.001101972355638112
4,"Native Hawaiian & Other Pacific Islander Alone",0,"Not Hispanic or Latino",2013,"2013",2045,"New York, NY","16000US3651000","new-york-ny",3824,0.0004549219786203325
4,"Native Hawaiian & Other Pacific Islander Alone",1,"Hispanic or Latino",2013,"2013",1283,"New York, NY","16000US3651000","new-york-ny",2084,0.0002479229611518758
5,"Some Other Race Alone",0,"Not Hispanic or Latino",2013,"2013",8866,"New York, NY","16000US3651000","new-york-ny",76151,0.009059300103011753
5,"Some Other Race Alone",1,"Hispanic or Latino",2013,"2013",24555,"New York, NY","16000US3651000","new-york-ny",1173082,0.13955564448846677
6,"Two or More Races",0,"Not Hispanic or Latino",2013,"2013",9748.888603322946,"New York, NY","16000US3651000","new-york-ny",134471,0.015997336136782097
6,"Two or More Races",1,"Hispanic or Latino",2013,"2013",10479.21204098858,"New York, NY","16000US3651000","new-york-ny",122770,0.014605327226783009
